pile_length,Dia=0.6,Dia=0.8,Dia=1.0,Dia=1.2,"Dia=0.6, total_pile_num","Dia=0.6m, estimate cost","Dia=0.6m, kN/estimate cost","Dia=0.8, total_pile_num","Dia=0.8m, estimate cost","Dia=0.8m, kN/estimate cost","Dia=1.0, total_pile_num","Dia=1.0m, estimate cost","Dia=1.0m, kN/estimate cost","Dia=1.2, total_pile_num","Dia=1.2m, estimate cost","Dia=1.2m, kN/estimate cost"
50,640.1832,884.9776,1145.4720000000002,1421.6664,303.65667202763206,643.6003163625661,302.0444444444445,219.66194398592685,827.6862049389725,234.86666666666665,169.7081203207062,999.1565583881578,194.56,136.73805612906094,1159.2652398621785,167.6888888888889
51,662.7912,915.1216000000001,1183.152,1466.8824,293.298854903324,634.0798614269472,306.5795206971677,212.4263048757673,816.4307631073291,238.1045751633987,164.30340311304042,986.683011544586,197.01960784313727,132.52316613792627,1146.0020305676858,169.62962962962962
52,685.3992,945.2656000000001,1220.832,1512.0983999999999,283.6243462204216,625.187473886751,310.9401709401709,205.65214686750474,805.8931809726282,241.2179487179487,159.23231042436632,974.979436728395,199.38461538461542,128.5603503052447,1133.5320358833792,171.49572649572647
53,715.10046,988.00728,1278.1841000000002,1585.63092,271.8441825642232,610.7441696415634,318.293501048218,196.75553402804886,785.8573433507495,247.36792452830184,152.08755921779965,949.1404351884833,204.8125786163522,122.59845437423735,1101.7530779558713,176.44234800838575
54,738.6504600000001,1019.4072800000001,1317.4341000000002,1632.73092,263.1771189853452,602.4282159845943,322.68724279835396,190.69502819324575,776.021975530722,250.50308641975312,147.55645083120285,938.2376926102033,207.1925925925926,119.06181087083229,1090.1585151679494,178.31893004115227
55,762.20046,1050.8072800000002,1356.6841000000002,1679.8309199999999,255.04563458279728,594.6261447480628,326.9212121212121,184.99671985523355,766.7744044559722,253.5242424242424,143.28751991712733,927.9658008632958,209.48606060606065,115.72349198096676,1079.2141415161,180.12727272727267
56,785.75046,1082.20728,1395.9341000000002,1726.9309199999998,247.4015732679304,587.2917506863439,331.0039682539682,179.62908177812292,758.0634657567632,256.43750000000006,139.25865125008406,918.2715463430543,211.69761904761907,112.56727049626282,1068.866757579394,181.87103174603175
57,823.1290200000002,1132.0453600000003,1458.2317000000003,1801.6880400000005,236.16698631278965,570.6337573385517,340.66666666666674,171.72094588153246,737.6307574530405,263.54093567251465,133.30933623236962,894.7389374576068,217.26549707602342,107.89653684996429,1042.811396931957,186.4152046783626
58,858.4916999999999,1179.1956000000002,1517.1695,1872.4134,226.43888112139,556.7271619026719,349.1762452107279,164.85466872501894,720.5599744368109,269.7844827586207,128.13064064364593,875.06821027578,222.14942528735628,103.82103652964672,1021.0259073300801,190.39272030651338
59,1094.49096,1584.9212800000003,2138.1516,2754.18192,177.61307046336864,444.2120653595896,437.6195856873823,122.65334717444135,545.3462183408882,356.4632768361582,90.91773473873414,631.6282326636708,307.7694915254237,70.58208413480544,706.105992967959,275.3069679849341
60,1134.0549600000002,1637.6732800000002,2204.0916,2833.3099200000006,171.4166480961381,435.9811027677176,445.8814814814816,118.70249235549595,536.7251894346106,362.18888888888887,88.19774096503066,623.1170399179416,311.97333333333336,68.61088461512179,698.019695720403,278.4962962962964
61,1173.6189599999998,1690.42528,2270.0316,2912.43792,165.63800230357563,428.3050899765629,453.87249544626576,114.99822103938247,528.6422221891996,367.72677595628414,85.63576824216896,615.1003143414391,316.03934426229506,66.74679609994915,690.3727915491502,281.5810564663023
62,1026.4220399999997,1409.3827199999998,1812.7533999999996,2236.5340799999994,189.39178274075257,497.7556955635911,390.5448028673834,137.9298165369872,644.4522404020962,301.6451612903225,107.2379177443551,782.8904184926644,248.30537634408597,86.91837148307619,913.7485022575646,212.74551971326161
63,1052.6284799999999,1444.32464,1856.4307999999999,2288.9469599999998,184.67664868805375,493.19191768685573,394.1587301587301,134.59294026860886,639.0042106544689,304.2169312169312,104.7148646747296,776.8010448733129,250.25185185185182,84.92809287289035,907.2256679342191,214.27513227513222
64,1079.0044799999998,1479.49264,1900.3908,2341.6989599999997,180.1622732836105,488.773040927504,397.7222222222221,131.39362423594076,633.7167054349118,306.7552083333333,102.29259160799978,770.8769703578863,252.175,83.01489786714515,900.8643892706006,215.7881944444444
65,1316.83122,1887.6549599999998,2524.4187,3227.12244,147.62400605903008,406.75580509474855,477.91794871794866,102.98275061878894,504.4507056310758,385.3615384615384,77.00620344794625,589.3862296397185,329.82769230769236,60.23815445936411,663.9087955584356,292.8051282051282
